wpt0;0.04;-0.13
wpt1;-0.11;0.14
wpt2;-0.01;0.17
wpt3;0.14;0.16
wpt4;-0.19;-0.14
wpt5;0.32;-0.01
0.04;-0.13;0.31;0.02;-3.11
0.04;-0.13;0.31;0.02;-3.11
0.04;-0.13;0.30;0.02;-3.04
0.04;-0.13;0.29;0.02;-2.98
0.04;-0.13;0.28;0.01;-2.89
0.04;-0.13;0.27;0.01;-2.81
0.04;-0.13;0.26;0.00;-2.76
0.04;-0.13;0.25;-0.00;-2.73
0.04;-0.13;0.24;-0.01;-2.69
0.04;-0.13;0.23;-0.01;-2.68
0.04;-0.13;0.22;-0.02;-2.67
0.04;-0.13;0.21;-0.02;-2.63
0.04;-0.13;0.20;-0.03;-2.63
0.04;-0.13;0.19;-0.03;-2.62
0.04;-0.13;0.18;-0.04;-2.61
0.04;-0.13;0.18;-0.04;-2.58
0.04;-0.13;0.18;-0.05;-2.54
0.04;-0.13;0.18;-0.05;-2.45
0.04;-0.13;0.17;-0.06;-2.38
0.04;-0.13;0.16;-0.07;-2.31
0.04;-0.13;0.15;-0.07;-2.42
0.04;-0.13;0.15;-0.08;-2.46
0.04;-0.13;0.14;-0.08;-2.52
0.04;-0.13;0.13;-0.09;-2.56
0.04;-0.13;0.12;-0.09;-2.57
0.04;-0.13;0.11;-0.09;-2.59
0.04;-0.13;0.10;-0.10;-2.60
0.04;-0.13;0.09;-0.10;-2.62
0.04;-0.13;0.09;-0.11;-2.64
0.04;-0.13;0.08;-0.11;-2.65
0.04;-0.13;0.07;-0.12;-2.64
0.04;-0.13;0.06;-0.12;-2.64
0.04;-0.13;0.05;-0.13;-2.66
0.04;-0.13;0.05;-0.13;-2.63
-0.11;0.14;0.04;-0.13;-2.67
-0.11;0.14;0.03;-0.14;-2.67
-0.11;0.14;0.02;-0.14;-2.75
-0.11;0.14;0.02;-0.14;-2.85
-0.11;0.14;0.01;-0.14;-2.92
-0.11;0.14;-0.00;-0.14;-2.96
-0.11;0.14;-0.01;-0.14;-3.10
-0.11;0.14;-0.02;-0.13;3.10
-0.11;0.14;-0.03;-0.13;3.02
-0.11;0.14;-0.04;-0.13;2.94
-0.11;0.14;-0.05;-0.12;2.85
-0.11;0.14;-0.06;-0.12;2.79
-0.11;0.14;-0.07;-0.11;2.70
-0.11;0.14;-0.08;-0.10;2.64
-0.11;0.14;-0.09;-0.10;2.53
-0.11;0.14;-0.10;-0.09;2.46
-0.11;0.14;-0.10;-0.08;2.34
-0.11;0.14;-0.11;-0.07;2.28
-0.11;0.14;-0.11;-0.06;2.16
-0.11;0.14;-0.12;-0.05;2.09
-0.11;0.14;-0.12;-0.04;2.01
-0.11;0.14;-0.12;-0.03;1.91
-0.11;0.14;-0.12;-0.02;1.85
-0.11;0.14;-0.12;-0.01;1.74
-0.11;0.14;-0.12;0.00;1.70
-0.11;0.14;-0.12;0.01;1.65
-0.11;0.14;-0.12;0.02;1.61
-0.11;0.14;-0.12;0.03;1.57
-0.11;0.14;-0.12;0.04;1.54
-0.11;0.14;-0.12;0.05;1.53
-0.11;0.14;-0.12;0.06;1.51
-0.11;0.14;-0.12;0.07;1.50
-0.11;0.14;-0.12;0.08;1.50
